,name,N,fm,d,plo_M,plo_m,seed,network_id,node,label,degree,indegree,outdegree,pagerank
0,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,81,0,,22,114,0.00032104664580288644
1,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,991,0,,39,0,0.001473032103960992
2,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,574,0,,19,3,0.0002975348624503677
3,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,696,0,,51,1,0.001083767525785487
4,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,947,0,,29,1,0.0005034954250674793
5,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,910,0,,19,6,0.001793655972738784
6,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,810,0,,47,1,0.0014989375140109578
7,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,835,0,,25,2,0.000822129927476859
8,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,261,0,,24,1,0.0014503290931549425
9,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,563,0,,27,11,0.0010202495504217236
10,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,299,0,,30,2,0.0007555566771780271
11,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,99,0,,26,0,0.0016983178812648026
12,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,425,0,,26,4,0.00039265925469274347
13,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,603,0,,31,155,0.0004616238590789669
14,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,683,0,,30,1,0.0003637088788920252
15,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,877,0,,30,6,0.0007827152917717803
16,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,110,0,,47,9,0.0012640130823968249
17,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,151,0,,28,997,0.0017753984775095253
18,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,699,0,,22,10,0.0005175461892162149
19,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,986,0,,37,38,0.0010727771845423758
20,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,139,0,,23,5,0.0004808778242841667
21,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,413,0,,26,1,0.0011670594316492127
22,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,685,0,,43,2,0.003524995707963464
23,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,66,0,,25,1,0.000451699375413385
24,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,488,0,,35,1,0.0006514563151674504
25,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,853,0,,25,10,0.0008674883955868218
26,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,834,0,,35,2,0.0010957484774720525
27,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,438,0,,24,1,0.0010370290091019905
28,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,725,0,,39,2,0.0008191535377948454
29,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,671,0,,33,1,0.0030381747685415787
30,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,224,0,,29,6,0.0007204682091966228
31,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,846,0,,36,20,0.000606598272974207
32,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,68,0,,27,2,0.0005258326200805463
33,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,997,0,,34,0,0.0008057557009008581
34,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,496,0,,36,1,0.0007138331762997645
35,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,94,0,,21,5,0.0005661022936334236
36,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,387,0,,27,1,0.0004677771120051495
37,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,680,0,,24,2,0.0007121956309830656
38,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,60,0,,26,833,0.0008227278132617302
39,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,407,0,,37,18,0.0014986553798563833
40,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,697,0,,38,0,0.0016825379164698067
41,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,212,0,,23,5,0.000336467994231855
42,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,693,0,,26,0,0.0004213842969315984
43,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,378,0,,19,5,0.0005979407908736179
44,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,503,0,,29,1,0.0006103047212961892
45,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,280,0,,27,2,0.001197813067085046
46,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,809,0,,27,1,0.00042419314469924245
47,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,518,0,,17,0,0.0003084797243294539
48,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,584,0,,30,10,0.00038630260422217966
49,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,85,0,,39,6,0.0018074571087467598
50,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,121,0,,36,5,0.0036506146198792663
51,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,943,0,,25,19,0.0005763554432815152
52,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,581,0,,33,3,0.001240450735167672
53,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,319,0,,38,7,0.0008350494014510223
54,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,240,0,,41,4,0.0025095279130377514
55,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,568,0,,15,7,0.00041232395698658056
56,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,464,0,,31,38,0.0007699501545514232
57,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,901,0,,30,3,0.002437320361414336
58,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,580,0,,22,2,0.0008563738498357894
59,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,412,0,,28,48,0.0010095332839491259
60,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,247,0,,34,5,0.0010941436164450858
61,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,774,0,,27,5,0.003011605729676119
62,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,218,0,,32,0,0.0018775314953362956
63,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,101,0,,33,0,0.0016570584378763347
64,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,914,0,,26,5,0.0007465467085239568
65,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,651,0,,20,1,0.00038894944673750797
66,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,431,0,,21,1,0.0003202135565028535
67,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,773,0,,35,2,0.0008295712139610269
68,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,241,0,,35,0,0.000683619050940016
69,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,863,0,,31,1,0.0012069698433098055
70,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,248,0,,28,0,0.0009848537182404762
71,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,813,0,,16,5,0.0005942353968328588
72,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,510,0,,19,0,0.00046676217833275206
73,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,474,0,,41,5,0.0007222947278455802
74,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,376,0,,33,1,0.0005872926767006667
75,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,653,0,,34,1,0.002710855267889279
76,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,352,0,,19,5,0.00033587655435916007
77,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,64,0,,28,0,0.001955262130652603
78,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,833,0,,15,2,0.00030793933703754183
79,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,915,0,,48,1,0.002488691682490905
80,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,31,0,,19,8,0.0008956023529443061
81,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,405,0,,27,1,0.0011922769566722513
82,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,325,0,,33,6,0.000710071266461078
83,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,606,0,,23,4,0.0007529441928564359
84,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,342,0,,27,6,0.000758344390450887
85,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,959,0,,35,467,0.0008327158823423055
86,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,332,0,,32,0,0.0012059214773210193
87,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,940,0,,40,3,0.0029746982198555526
88,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,330,0,,28,19,0.0005016539270633819
89,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,632,0,,37,4,0.0012047006162500711
90,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,375,0,,24,1,0.0005106478685121962
91,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,509,0,,25,4,0.0004249562583314234
92,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,50,0,,18,1,0.00048144427455718616
93,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,385,0,,41,1,0.0007934626700833591
94,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,848,0,,24,3,0.000739425879083252
95,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,312,0,,26,1,0.001875034088591897
96,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,436,0,,31,8,0.0007398056218170784
97,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,34,0,,32,981,0.0012780779176040774
98,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,762,0,,31,4,0.0011378201746012828
99,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,220,0,,27,2,0.000520802291206243
100,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,618,0,,21,4,0.0007485573981979893
101,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,453,0,,22,2,0.0006841691468346572
102,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,347,0,,31,2,0.00040601367372262157
103,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,710,0,,21,6,0.00046497629664834855
104,DPA,1000,0.1,0.03,1.5,2.5,1996059215,,403,0,,29,0,0.0011700809209802734
