,name,N,fm,d,h_MM,h_mm,plo_M,plo_m,seed,network_id,node,label,degree,indegree,outdegree,pagerank
0,DPAH,1000,0.1,0.01,0.0,0.9,1.5,1.5,2204834334,,753,0,,0,1,0.00017465512843318608
1,DPAH,1000,0.1,0.01,0.0,0.9,1.5,1.5,2204834334,,395,0,,1,75,0.000248832391967763
2,DPAH,1000,0.1,0.01,0.0,0.9,1.5,1.5,2204834334,,855,0,,2,50,0.00038029830524317714
3,DPAH,1000,0.1,0.01,0.0,0.9,1.5,1.5,2204834334,,171,0,,1,28,0.000248832391967763
4,DPAH,1000,0.1,0.01,0.0,0.9,1.5,1.5,2204834334,,194,0,,0,1,0.00017465512843318608
5,DPAH,1000,0.1,0.01,0.0,0.9,1.5,1.5,2204834334,,743,0,,2,4,0.0003346913238457988
6,DPAH,1000,0.1,0.01,0.0,0.9,1.5,1.5,2204834334,,689,0,,1,2,0.000248832391967763
7,DPAH,1000,0.1,0.01,0.0,0.9,1.5,1.5,2204834334,,676,0,,1,7,0.000248832391967763
8,DPAH,1000,0.1,0.01,0.0,0.9,1.5,1.5,2204834334,,317,0,,0,0,0.00017465512843318608
9,DPAH,1000,0.1,0.01,0.0,0.9,1.5,1.5,2204834334,,686,0,,0,3,0.00017465512843318608
10,DPAH,1000,0.1,0.01,0.0,0.9,1.5,1.5,2204834334,,502,0,,1,1,0.000248832391967763
11,DPAH,1000,0.1,0.01,0.0,0.9,1.5,1.5,2204834334,,115,0,,0,0,0.00017465512843318608
12,DPAH,1000,0.1,0.01,0.0,0.9,1.5,1.5,2204834334,,620,0,,0,0,0.00017465512843318608
13,DPAH,1000,0.1,0.01,0.0,0.9,1.5,1.5,2204834334,,599,0,,1,1,0.000248832391967763
14,DPAH,1000,0.1,0.01,0.0,0.9,1.5,1.5,2204834334,,694,0,,2,11,0.0003855972933146438
15,DPAH,1000,0.1,0.01,0.0,0.9,1.5,1.5,2204834334,,653,0,,1,14,0.000248832391967763
16,DPAH,1000,0.1,0.01,0.0,0.9,1.5,1.5,2204834334,,352,0,,4,12,0.0008226674399086798
17,DPAH,1000,0.1,0.01,0.0,0.9,1.5,1.5,2204834334,,584,0,,1,3,0.000248832391967763
18,DPAH,1000,0.1,0.01,0.0,0.9,1.5,1.5,2204834334,,897,0,,1,1,0.000248832391967763
19,DPAH,1000,0.1,0.01,0.0,0.9,1.5,1.5,2204834334,,340,0,,1,72,0.000248832391967763
20,DPAH,1000,0.1,0.01,0.0,0.9,1.5,1.5,2204834334,,310,0,,1,2,0.000248832391967763
21,DPAH,1000,0.1,0.01,0.0,0.9,1.5,1.5,2204834334,,940,0,,0,0,0.00017465512843318608
22,DPAH,1000,0.1,0.01,0.0,0.9,1.5,1.5,2204834334,,973,0,,0,1,0.00017465512843318608
23,DPAH,1000,0.1,0.01,0.0,0.9,1.5,1.5,2204834334,,871,0,,0,0,0.00017465512843318608
24,DPAH,1000,0.1,0.01,0.0,0.9,1.5,1.5,2204834334,,309,0,,0,3,0.00017465512843318608
25,DPAH,1000,0.1,0.01,0.0,0.9,1.5,1.5,2204834334,,299,0,,1,1,0.000248832391967763
26,DPAH,1000,0.1,0.01,0.0,0.9,1.5,1.5,2204834334,,496,0,,2,2,0.00036911637702144955
27,DPAH,1000,0.1,0.01,0.0,0.9,1.5,1.5,2204834334,,962,0,,0,2,0.00017465512843318608
28,DPAH,1000,0.1,0.01,0.0,0.9,1.5,1.5,2204834334,,880,0,,1,11,0.000248832391967763
29,DPAH,1000,0.1,0.01,0.0,0.9,1.5,1.5,2204834334,,213,0,,0,2,0.00017465512843318608
30,DPAH,1000,0.1,0.01,0.0,0.9,1.5,1.5,2204834334,,113,0,,0,2,0.00017465512843318608
31,DPAH,1000,0.1,0.01,0.0,0.9,1.5,1.5,2204834334,,792,0,,2,2,0.0004363055229094118
32,DPAH,1000,0.1,0.01,0.0,0.9,1.5,1.5,2204834334,,823,0,,1,35,0.000248832391967763
