,name,N,m,fm,h_MM,h_mm,seed,network_id,node,label,degree,indegree,outdegree,pagerank
0,PAH,1000,2,0.5,1.0,0.7,4121523668,,551,0,3,,,0.0007839459080700497
1,PAH,1000,2,0.5,1.0,0.7,4121523668,,401,0,2,,,0.0005315012175505456
2,PAH,1000,2,0.5,1.0,0.7,4121523668,,940,0,2,,,0.0005572376038287764
3,PAH,1000,2,0.5,1.0,0.7,4121523668,,395,0,2,,,0.0005545618433488995
4,PAH,1000,2,0.5,1.0,0.7,4121523668,,338,0,2,,,0.0005695179981136322
5,PAH,1000,2,0.5,1.0,0.7,4121523668,,590,0,7,,,0.0016756654123742487
6,PAH,1000,2,0.5,1.0,0.7,4121523668,,842,0,2,,,0.0005723612331480577
7,PAH,1000,2,0.5,1.0,0.7,4121523668,,243,0,4,,,0.0009835435438645577
8,PAH,1000,2,0.5,1.0,0.7,4121523668,,874,0,2,,,0.0005511864018876856
9,PAH,1000,2,0.5,1.0,0.7,4121523668,,251,0,2,,,0.0005171443826575078
10,PAH,1000,2,0.5,1.0,0.7,4121523668,,647,0,3,,,0.0007695469574672353
11,PAH,1000,2,0.5,1.0,0.7,4121523668,,564,0,2,,,0.0005439812592463901
12,PAH,1000,2,0.5,1.0,0.7,4121523668,,963,0,2,,,0.0005615388955124856
13,PAH,1000,2,0.5,1.0,0.7,4121523668,,825,0,3,,,0.0008046567065002862
14,PAH,1000,2,0.5,1.0,0.7,4121523668,,155,0,3,,,0.0007609206615692358
15,PAH,1000,2,0.5,1.0,0.7,4121523668,,637,0,2,,,0.000563778622529455
16,PAH,1000,2,0.5,1.0,0.7,4121523668,,81,0,4,,,0.0010072241359255912
17,PAH,1000,2,0.5,1.0,0.7,4121523668,,572,0,2,,,0.0005312364060299415
18,PAH,1000,2,0.5,1.0,0.7,4121523668,,870,0,2,,,0.0006009850238902912
19,PAH,1000,2,0.5,1.0,0.7,4121523668,,444,0,2,,,0.0005237944060996078
20,PAH,1000,2,0.5,1.0,0.7,4121523668,,913,0,2,,,0.0005902958826559266
21,PAH,1000,2,0.5,1.0,0.7,4121523668,,879,0,2,,,0.0005896577551862091
22,PAH,1000,2,0.5,1.0,0.7,4121523668,,882,0,2,,,0.0005455374907579588
23,PAH,1000,2,0.5,1.0,0.7,4121523668,,864,0,2,,,0.0005663196617808063
24,PAH,1000,2,0.5,1.0,0.7,4121523668,,693,0,2,,,0.0005808135366801551
25,PAH,1000,2,0.5,1.0,0.7,4121523668,,753,0,3,,,0.0007695538449368869
26,PAH,1000,2,0.5,1.0,0.7,4121523668,,248,0,2,,,0.0005476164879909116
27,PAH,1000,2,0.5,1.0,0.7,4121523668,,492,0,2,,,0.0005599106709457735
28,PAH,1000,2,0.5,1.0,0.7,4121523668,,700,0,2,,,0.0005388509855694434
29,PAH,1000,2,0.5,1.0,0.7,4121523668,,420,0,2,,,0.0005529204871708555
30,PAH,1000,2,0.5,1.0,0.7,4121523668,,162,0,10,,,0.0023135619607302965
31,PAH,1000,2,0.5,1.0,0.7,4121523668,,798,0,2,,,0.0005917532704259255
32,PAH,1000,2,0.5,1.0,0.7,4121523668,,659,0,2,,,0.0005660643661974014
33,PAH,1000,2,0.5,1.0,0.7,4121523668,,977,0,2,,,0.0005912040088168048
34,PAH,1000,2,0.5,1.0,0.7,4121523668,,689,0,2,,,0.0005791439456891358
35,PAH,1000,2,0.5,1.0,0.7,4121523668,,391,0,3,,,0.0007792257952755487
36,PAH,1000,2,0.5,1.0,0.7,4121523668,,953,0,2,,,0.0005358817710352219
37,PAH,1000,2,0.5,1.0,0.7,4121523668,,280,0,2,,,0.0005154696652615021
38,PAH,1000,2,0.5,1.0,0.7,4121523668,,61,0,14,,,0.003136419696377219
39,PAH,1000,2,0.5,1.0,0.7,4121523668,,138,0,19,,,0.004286074886967661
40,PAH,1000,2,0.5,1.0,0.7,4121523668,,908,0,2,,,0.0005214675345167208
41,PAH,1000,2,0.5,1.0,0.7,4121523668,,617,0,2,,,0.0005378355798754443
42,PAH,1000,2,0.5,1.0,0.7,4121523668,,440,0,4,,,0.0010120101911698814
43,PAH,1000,2,0.5,1.0,0.7,4121523668,,199,0,4,,,0.0010126245862498394
44,PAH,1000,2,0.5,1.0,0.7,4121523668,,834,0,2,,,0.0005794888508227436
45,PAH,1000,2,0.5,1.0,0.7,4121523668,,262,0,3,,,0.0007676713892923368
